SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_M0041.M0041E.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.M0041E.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.M0041E.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0041.M0041EA.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.M0041EA.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.M0041EA.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0041.M0041EAR.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.M0041EAR.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.M0041EAR.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0041.M0041EB.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.M0041EB.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.M0041EB.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0041.M0041EX.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.M0041EX.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.M0041EX.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0041.M0041JAR.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.M0041JAR.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.M0041JAR.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0041.M0041NAR.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.M0041NAR.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.M0041NAR.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0041.M0041NBR.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.M0041NBR.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.M0041NBR.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0041.R1495SA.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.R1495SA.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.R1495SA.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0041.V1498SA.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.V1498SA.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.V1498SA.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0041.W0040JA.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0041.W0040JA.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0041.W0040JA.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
