SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_M0041.M0041E.Crate1.CPU.EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_M0041.M0041E.Crate1.CPU.EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_M0041.M0041E.Crate1.CPU.EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_M0041.M0041EA.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_M0041.M0041EA.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_M0041.M0041EA.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_M0041.M0041EAR.Crate1.CPU.EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_M0041.M0041EAR.Crate1.CPU.EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_M0041.M0041EAR.Crate1.CPU.EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_M0041.M0041EB.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_M0041.M0041EB.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_M0041.M0041EB.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_M0041.M0041EX.Crate1.CPU.EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_M0041.M0041EX.Crate1.CPU.EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_M0041.M0041EX.Crate1.CPU.EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_M0041.M0041JAR.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_M0041.M0041JAR.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_M0041.M0041JAR.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_M0041.M0041NAR.Crate1.CPU.EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_M0041.M0041NAR.Crate1.CPU.EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_M0041.M0041NAR.Crate1.CPU.EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_M0041.M0041NBR.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_M0041.M0041NBR.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_M0041.M0041NBR.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_M0041.R1495SA.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_M0041.R1495SA.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_M0041.R1495SA.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_M0041.V1498SA.Crate1.CPU.EIPAdapter;Data1000ms;FiberMode;1000;1000
Domain.PLC_M0041.V1498SA.Crate1.CPU.EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_M0041.V1498SA.Crate1.CPU.EIPAdapter;Data1000ms;SatelliteMode;1000;1000
Domain.PLC_M0041.W0040JA.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_M0041.W0040JA.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_M0041.W0040JA.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;15000;30000
