SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_M0042.M0042E.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0042.M0042E.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0042.M0042E.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0042.M0042IB.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0042.M0042IB.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0042.M0042IB.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0042.M0042IC.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0042.M0042IC.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0042.M0042IC.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0042.M0042ID.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0042.M0042ID.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0042.M0042ID.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0042.M0042JAR.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0042.M0042JAR.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0042.M0042JAR.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0042.M0042NAR.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0042.M0042NAR.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0042.M0042NAR.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0042.M0042NBR.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0042.M0042NBR.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0042.M0042NBR.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0042.R1504SA.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0042.R1504SA.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0042.R1504SA.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0042.V1499SA.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0042.V1499SA.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0042.V1499SA.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_M0042.W0040JB.Crate1.CPU.EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_M0042.W0040JB.Crate1.CPU.EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_M0042.W0040JB.Crate1.CPU.EIPAdapter;SatelliteMode;10;600;10;500
