SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_M0042.M0042E.Crate1.CPU.EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_M0042.M0042E.Crate1.CPU.EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_M0042.M0042E.Crate1.CPU.EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_M0042.M0042IB.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_M0042.M0042IB.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_M0042.M0042IB.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_M0042.M0042IC.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_M0042.M0042IC.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_M0042.M0042IC.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_M0042.M0042ID.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_M0042.M0042ID.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_M0042.M0042ID.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_M0042.M0042JAR.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_M0042.M0042JAR.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_M0042.M0042JAR.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_M0042.M0042NAR.Crate1.CPU.EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_M0042.M0042NAR.Crate1.CPU.EIPAdapter;Data1000ms;RadioMode;2000;2000
Domain.PLC_M0042.M0042NAR.Crate1.CPU.EIPAdapter;Data1000ms;SatelliteMode;1000;2000
Domain.PLC_M0042.M0042NBR.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_M0042.M0042NBR.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_M0042.M0042NBR.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_M0042.R1504SA.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_M0042.R1504SA.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_M0042.R1504SA.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_M0042.V1499SA.Crate1.CPU.EIPAdapter;Data1000ms;FiberMode;1000;1000
Domain.PLC_M0042.V1499SA.Crate1.CPU.EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_M0042.V1499SA.Crate1.CPU.EIPAdapter;Data1000ms;SatelliteMode;1000;1000
Domain.PLC_M0042.W0040JB.Crate1.CPU.EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_M0042.W0040JB.Crate1.CPU.EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_M0042.W0040JB.Crate1.CPU.EIPAdapter;Data3000ms;SatelliteMode;15000;30000
