SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0021.P0021EB.P0021EB.P0021EB_CPU.P0021EB_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0021.P0021EB.P0021EB.P0021EB_CPU.P0021EB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0021.P0021EB.P0021EB.P0021EB_CPU.P0021EB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0021.P0021IB.P0021IB.P0021IB_CPU.P0021IB_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0021.P0021IB.P0021IB.P0021IB_CPU.P0021IB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0021.P0021IB.P0021IB.P0021IB_CPU.P0021IB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0021.P0021IC.P0021IC.P0021IC_CPU.P0021IC_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0021.P0021IC.P0021IC.P0021IC_CPU.P0021IC_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0021.P0021IC.P0021IC.P0021IC_CPU.P0021IC_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0021.P0021JAR.P0021JAR.P0021JAR_CPU.P0021JAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0021.P0021JAR.P0021JAR.P0021JAR_CPU.P0021JAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0021.P0021JAR.P0021JAR.P0021JAR_CPU.P0021JAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0021.P0021NAR.P0021NAR.P0021NAR_CPU.P0021NAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0021.P0021NAR.P0021NAR.P0021NAR_CPU.P0021NAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0021.P0021NAR.P0021NAR.P0021NAR_CPU.P0021NAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0021.P0021NBR.P0021NBR.P0021NBR_CPU.P0021NBR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0021.P0021NBR.P0021NBR.P0021NBR_CPU.P0021NBR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0021.P0021NBR.P0021NBR.P0021NBR_CPU.P0021NBR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0021.P0021VT.P0021VT.P0021VT_CPU.P0021VT_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0021.P0021VT.P0021VT.P0021VT_CPU.P0021VT_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0021.P0021VT.P0021VT.P0021VT_CPU.P0021VT_EIPAdapter;RadioMode;10;600;10;500
