SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0021.P0021EB.P0021EB.P0021EB_CPU.P0021EB_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0021.P0021EB.P0021EB.P0021EB_CPU.P0021EB_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0021.P0021EB.P0021EB.P0021EB_CPU.P0021EB_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0021.P0021IB.P0021IB.P0021IB_CPU.P0021IB_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0021.P0021IB.P0021IB.P0021IB_CPU.P0021IB_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0021.P0021IB.P0021IB.P0021IB_CPU.P0021IB_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0021.P0021IC.P0021IC.P0021IC_CPU.P0021IC_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0021.P0021IC.P0021IC.P0021IC_CPU.P0021IC_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0021.P0021IC.P0021IC.P0021IC_CPU.P0021IC_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0021.P0021JAR.P0021JAR.P0021JAR_CPU.P0021JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0021.P0021JAR.P0021JAR.P0021JAR_CPU.P0021JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0021.P0021JAR.P0021JAR.P0021JAR_CPU.P0021JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0021.P0021NAR.P0021NAR.P0021NAR_CPU.P0021NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0021.P0021NAR.P0021NAR.P0021NAR_CPU.P0021NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0021.P0021NAR.P0021NAR.P0021NAR_CPU.P0021NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0021.P0021NBR.P0021NBR.P0021NBR_CPU.P0021NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0021.P0021NBR.P0021NBR.P0021NBR_CPU.P0021NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0021.P0021NBR.P0021NBR.P0021NBR_CPU.P0021NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0021.P0021VT.P0021VT.P0021VT_CPU.P0021VT_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0021.P0021VT.P0021VT.P0021VT_CPU.P0021VT_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0021.P0021VT.P0021VT.P0021VT_CPU.P0021VT_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
