SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0022.P0022E.P0022E.P0022E_CPU.P0022E_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0022.P0022E.P0022E.P0022E_CPU.P0022E_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0022.P0022E.P0022E.P0022E_CPU.P0022E_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0022.P0022IA203.P0022IA203.P0022IA203_CPU.P0022IA203_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0022.P0022IA203.P0022IA203.P0022IA203_CPU.P0022IA203_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0022.P0022IA203.P0022IA203.P0022IA203_CPU.P0022IA203_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0022.P0022IA35.P0022IA35.P0022IA35_CPU.P0022IA35_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0022.P0022IA35.P0022IA35.P0022IA35_CPU.P0022IA35_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0022.P0022IA35.P0022IA35.P0022IA35_CPU.P0022IA35_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0022.P0022IA67.P0022IA67.P0022IA67_CPU.P0022IA67_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0022.P0022IA67.P0022IA67.P0022IA67_CPU.P0022IA67_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0022.P0022IA67.P0022IA67.P0022IA67_CPU.P0022IA67_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0022.P0022IB.P0022IB.P0022IB_CPU.P0022IB_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0022.P0022IB.P0022IB.P0022IB_CPU.P0022IB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0022.P0022IB.P0022IB.P0022IB_CPU.P0022IB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0022.P0022IC.P0022IC.P0022IC_CPU.P0022IC_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0022.P0022IC.P0022IC.P0022IC_CPU.P0022IC_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0022.P0022IC.P0022IC.P0022IC_CPU.P0022IC_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0022.P0022ID.P0022ID.P0022ID_CPU.P0022ID_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0022.P0022ID.P0022ID.P0022ID_CPU.P0022ID_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0022.P0022ID.P0022ID.P0022ID_CPU.P0022ID_EIPAdapter;RadioMode;10;600;10;500
