SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0022.P0022E.P0022E.P0022E_CPU.P0022E_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0022.P0022E.P0022E.P0022E_CPU.P0022E_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0022.P0022E.P0022E.P0022E_CPU.P0022E_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0022.P0022IA203.P0022IA203.P0022IA203_CPU.P0022IA203_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0022.P0022IA203.P0022IA203.P0022IA203_CPU.P0022IA203_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0022.P0022IA203.P0022IA203.P0022IA203_CPU.P0022IA203_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0022.P0022IA35.P0022IA35.P0022IA35_CPU.P0022IA35_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0022.P0022IA35.P0022IA35.P0022IA35_CPU.P0022IA35_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0022.P0022IA35.P0022IA35.P0022IA35_CPU.P0022IA35_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0022.P0022IA67.P0022IA67.P0022IA67_CPU.P0022IA67_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0022.P0022IA67.P0022IA67.P0022IA67_CPU.P0022IA67_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0022.P0022IA67.P0022IA67.P0022IA67_CPU.P0022IA67_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0022.P0022IB.P0022IB.P0022IB_CPU.P0022IB_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0022.P0022IB.P0022IB.P0022IB_CPU.P0022IB_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0022.P0022IB.P0022IB.P0022IB_CPU.P0022IB_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0022.P0022IC.P0022IC.P0022IC_CPU.P0022IC_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0022.P0022IC.P0022IC.P0022IC_CPU.P0022IC_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0022.P0022IC.P0022IC.P0022IC_CPU.P0022IC_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0022.P0022ID.P0022ID.P0022ID_CPU.P0022ID_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0022.P0022ID.P0022ID.P0022ID_CPU.P0022ID_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0022.P0022ID.P0022ID.P0022ID_CPU.P0022ID_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0022.P0022JAR.P0022JAR.P0022JAR_CPU.P0022JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0022.P0022JAR.P0022JAR.P0022JAR_CPU.P0022JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0022.P0022JAR.P0022JAR.P0022JAR_CPU.P0022JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0022.P0022JE.P0022JE.P0022JE_CPU.P0022JE_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0022.P0022JE.P0022JE.P0022JE_CPU.P0022JE_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0022.P0022JE.P0022JE.P0022JE_CPU.P0022JE_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0022.P0022JFN.P0022JFN.P0022JFN_CPU.P0022JFN_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0022.P0022JFN.P0022JFN.P0022JFN_CPU.P0022JFN_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0022.P0022JFN.P0022JFN.P0022JFN_CPU.P0022JFN_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0022.P0022JI.P0022JI.P0022JI_CPU.P0022JI_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0022.P0022JI.P0022JI.P0022JI_CPU.P0022JI_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0022.P0022JI.P0022JI.P0022JI_CPU.P0022JI_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0022.P0022MA.P0022MA.P0022MA_CPU.P0022MA_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0022.P0022MA.P0022MA.P0022MA_CPU.P0022MA_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0022.P0022MA.P0022MA.P0022MA_CPU.P0022MA_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0022.P0022MB.P0022MB.P0022MB_CPU.P0022MB_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0022.P0022MB.P0022MB.P0022MB_CPU.P0022MB_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0022.P0022MB.P0022MB.P0022MB_CPU.P0022MB_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0022.P0022MC.P0022MC.P0022MC_CPU.P0022MC_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0022.P0022MC.P0022MC.P0022MC_CPU.P0022MC_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0022.P0022MC.P0022MC.P0022MC_CPU.P0022MC_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0022.P0022MD.P0022MD.P0022MD_CPU.P0022MD_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0022.P0022MD.P0022MD.P0022MD_CPU.P0022MD_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0022.P0022MD.P0022MD.P0022MD_CPU.P0022MD_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0022.P0022NAR.P0022NAR.P0022NAR_CPU.P0022NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0022.P0022NAR.P0022NAR.P0022NAR_CPU.P0022NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0022.P0022NAR.P0022NAR.P0022NAR_CPU.P0022NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0022.P0022NBR.P0022NBR.P0022NBR_CPU.P0022NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0022.P0022NBR.P0022NBR.P0022NBR_CPU.P0022NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0022.P0022NBR.P0022NBR.P0022NBR_CPU.P0022NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0022.P0022QL.P0022QL.P0022QL_CPU.P0022QL_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0022.P0022QL.P0022QL.P0022QL_CPU.P0022QL_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0022.P0022QL.P0022QL.P0022QL_CPU.P0022QL_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
