SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0023.P0023EA.P0023EA.P0023EA_CPU.P0023EA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0023.P0023EA.P0023EA.P0023EA_CPU.P0023EA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0023.P0023EA.P0023EA.P0023EA_CPU.P0023EA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0023.P0023HA.P0023HA.P0023HA_CPU.P0023HA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0023.P0023HA.P0023HA.P0023HA_CPU.P0023HA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0023.P0023HA.P0023HA.P0023HA_CPU.P0023HA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0023.P0023IB.P0023IB.P0023IB_CPU.P0023IB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0023.P0023IB.P0023IB.P0023IB_CPU.P0023IB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0023.P0023IB.P0023IB.P0023IB_CPU.P0023IB_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0023.P0023IR.P0023IR.P0023IR_CPU.P0023IR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0023.P0023IR.P0023IR.P0023IR_CPU.P0023IR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0023.P0023IR.P0023IR.P0023IR_CPU.P0023IR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0023.P0023JAR.P0023JAR.P0023JAR_CPU.P0023JAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0023.P0023JAR.P0023JAR.P0023JAR_CPU.P0023JAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0023.P0023JAR.P0023JAR.P0023JAR_CPU.P0023JAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0023.P0023JC.P0023JC.P0023JC_CPU.P0023JC_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0023.P0023JC.P0023JC.P0023JC_CPU.P0023JC_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0023.P0023JC.P0023JC.P0023JC_CPU.P0023JC_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0023.P0023NAR.P0023NAR.P0023NAR_CPU.P0023NAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0023.P0023NAR.P0023NAR.P0023NAR_CPU.P0023NAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0023.P0023NAR.P0023NAR.P0023NAR_CPU.P0023NAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0023.P0023NBR.P0023NBR.P0023NBR_CPU.P0023NBR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0023.P0023NBR.P0023NBR.P0023NBR_CPU.P0023NBR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0023.P0023NBR.P0023NBR.P0023NBR_CPU.P0023NBR_EIPAdapter;SatelliteMode;10;600;10;500
