SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0023.P0023EA.P0023EA.P0023EA_CPU.P0023EA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0023.P0023EA.P0023EA.P0023EA_CPU.P0023EA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0023.P0023EA.P0023EA.P0023EA_CPU.P0023EA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0023.P0023HA.P0023HA.P0023HA_CPU.P0023HA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0023.P0023HA.P0023HA.P0023HA_CPU.P0023HA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0023.P0023HA.P0023HA.P0023HA_CPU.P0023HA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0023.P0023IB.P0023IB.P0023IB_CPU.P0023IB_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0023.P0023IB.P0023IB.P0023IB_CPU.P0023IB_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0023.P0023IB.P0023IB.P0023IB_CPU.P0023IB_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0023.P0023IR.P0023IR.P0023IR_CPU.P0023IR_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0023.P0023IR.P0023IR.P0023IR_CPU.P0023IR_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0023.P0023IR.P0023IR.P0023IR_CPU.P0023IR_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0023.P0023JAR.P0023JAR.P0023JAR_CPU.P0023JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0023.P0023JAR.P0023JAR.P0023JAR_CPU.P0023JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0023.P0023JAR.P0023JAR.P0023JAR_CPU.P0023JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0023.P0023JC.P0023JC.P0023JC_CPU.P0023JC_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0023.P0023JC.P0023JC.P0023JC_CPU.P0023JC_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0023.P0023JC.P0023JC.P0023JC_CPU.P0023JC_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0023.P0023NAR.P0023NAR.P0023NAR_CPU.P0023NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0023.P0023NAR.P0023NAR.P0023NAR_CPU.P0023NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0023.P0023NAR.P0023NAR.P0023NAR_CPU.P0023NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0023.P0023NBR.P0023NBR.P0023NBR_CPU.P0023NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0023.P0023NBR.P0023NBR.P0023NBR_CPU.P0023NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0023.P0023NBR.P0023NBR.P0023NBR_CPU.P0023NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
