SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0024.P0024EA.P0024EA.P0024EA_CPU.P0024EA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024EA.P0024EA.P0024EA_CPU.P0024EA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024EA.P0024EA.P0024EA_CPU.P0024EA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024EB.P0024EB.P0024EB_CPU.P0024EB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024EB.P0024EB.P0024EB_CPU.P0024EB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024EB.P0024EB.P0024EB_CPU.P0024EB_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024IA.P0024IA.P0024IA_CPU.P0024IA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024IA.P0024IA.P0024IA_CPU.P0024IA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024IA.P0024IA.P0024IA_CPU.P0024IA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024IB.P0024IB.P0024IB_CPU.P0024IB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024IB.P0024IB.P0024IB_CPU.P0024IB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024IB.P0024IB.P0024IB_CPU.P0024IB_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024JAR.P0024JAR.P0024JAR_CPU.P0024JAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024JAR.P0024JAR.P0024JAR_CPU.P0024JAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024JAR.P0024JAR.P0024JAR_CPU.P0024JAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024JI.P0024JI.P0024JI_CPU.P0024JI_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024JI.P0024JI.P0024JI_CPU.P0024JI_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024JI.P0024JI.P0024JI_CPU.P0024JI_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024MA.P0024MA.P0024MA_CPU.P0024MA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024MA.P0024MA.P0024MA_CPU.P0024MA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024MA.P0024MA.P0024MA_CPU.P0024MA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024MB.P0024MB.P0024MB_CPU.P0024MB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024MB.P0024MB.P0024MB_CPU.P0024MB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024MB.P0024MB.P0024MB_CPU.P0024MB_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024MC.P0024MC.P0024MC_CPU.P0024MC_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024MC.P0024MC.P0024MC_CPU.P0024MC_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024MC.P0024MC.P0024MC_CPU.P0024MC_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024MD.P0024MD.P0024MD_CPU.P0024MD_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024MD.P0024MD.P0024MD_CPU.P0024MD_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024MD.P0024MD.P0024MD_CPU.P0024MD_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024NAR.P0024NAR.P0024NAR_CPU.P0024NAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024NAR.P0024NAR.P0024NAR_CPU.P0024NAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024NAR.P0024NAR.P0024NAR_CPU.P0024NAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0024.P0024NBR.P0024NBR.P0024NBR_CPU.P0024NBR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0024.P0024NBR.P0024NBR.P0024NBR_CPU.P0024NBR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0024.P0024NBR.P0024NBR.P0024NBR_CPU.P0024NBR_EIPAdapter;SatelliteMode;10;600;10;500
