SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0024.P0024EA.P0024EA.P0024EA_CPU.P0024EA_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0024.P0024EA.P0024EA.P0024EA_CPU.P0024EA_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0024.P0024EA.P0024EA.P0024EA_CPU.P0024EA_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0024.P0024EB.P0024EB.P0024EB_CPU.P0024EB_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0024.P0024EB.P0024EB.P0024EB_CPU.P0024EB_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0024.P0024EB.P0024EB.P0024EB_CPU.P0024EB_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0024.P0024IA.P0024IA.P0024IA_CPU.P0024IA_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0024.P0024IA.P0024IA.P0024IA_CPU.P0024IA_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0024.P0024IA.P0024IA.P0024IA_CPU.P0024IA_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0024.P0024IB.P0024IB.P0024IB_CPU.P0024IB_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0024.P0024IB.P0024IB.P0024IB_CPU.P0024IB_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0024.P0024IB.P0024IB.P0024IB_CPU.P0024IB_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0024.P0024JAR.P0024JAR.P0024JAR_CPU.P0024JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0024.P0024JAR.P0024JAR.P0024JAR_CPU.P0024JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0024.P0024JAR.P0024JAR.P0024JAR_CPU.P0024JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0024.P0024JI.P0024JI.P0024JI_CPU.P0024JI_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0024.P0024JI.P0024JI.P0024JI_CPU.P0024JI_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0024.P0024JI.P0024JI.P0024JI_CPU.P0024JI_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0024.P0024MA.P0024MA.P0024MA_CPU.P0024MA_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0024.P0024MA.P0024MA.P0024MA_CPU.P0024MA_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0024.P0024MA.P0024MA.P0024MA_CPU.P0024MA_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0024.P0024MB.P0024MB.P0024MB_CPU.P0024MB_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0024.P0024MB.P0024MB.P0024MB_CPU.P0024MB_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0024.P0024MB.P0024MB.P0024MB_CPU.P0024MB_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0024.P0024MC.P0024MC.P0024MC_CPU.P0024MC_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0024.P0024MC.P0024MC.P0024MC_CPU.P0024MC_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0024.P0024MC.P0024MC.P0024MC_CPU.P0024MC_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0024.P0024MD.P0024MD.P0024MD_CPU.P0024MD_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0024.P0024MD.P0024MD.P0024MD_CPU.P0024MD_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0024.P0024MD.P0024MD.P0024MD_CPU.P0024MD_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0024.P0024NAR.P0024NAR.P0024NAR_CPU.P0024NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0024.P0024NAR.P0024NAR.P0024NAR_CPU.P0024NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0024.P0024NAR.P0024NAR.P0024NAR_CPU.P0024NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0024.P0024NBR.P0024NBR.P0024NBR_CPU.P0024NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0024.P0024NBR.P0024NBR.P0024NBR_CPU.P0024NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0024.P0024NBR.P0024NBR.P0024NBR_CPU.P0024NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
