SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0025.P0025EA.P0025EA.P0025EA_CPU.P0025EA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025EA.P0025EA.P0025EA_CPU.P0025EA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025EA.P0025EA.P0025EA_CPU.P0025EA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025EB.P0025EB.P0025EB_CPU.P0025EB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025EB.P0025EB.P0025EB_CPU.P0025EB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025EB.P0025EB.P0025EB_CPU.P0025EB_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025IA.P0025IA.P0025IA_CPU.P0025IA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025IA.P0025IA.P0025IA_CPU.P0025IA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025IA.P0025IA.P0025IA_CPU.P0025IA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025JAR.P0025JAR.P0025JAR_CPU.P0025JAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025JAR.P0025JAR.P0025JAR_CPU.P0025JAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025JAR.P0025JAR.P0025JAR_CPU.P0025JAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025MA.P0025MA.P0025MA_CPU.P0025MA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025MA.P0025MA.P0025MA_CPU.P0025MA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025MA.P0025MA.P0025MA_CPU.P0025MA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025MB.P0025MB.P0025MB_CPU.P0025MB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025MB.P0025MB.P0025MB_CPU.P0025MB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025MB.P0025MB.P0025MB_CPU.P0025MB_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025MC.P0025MC.P0025MC_CPU.P0025MC_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025MC.P0025MC.P0025MC_CPU.P0025MC_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025MC.P0025MC.P0025MC_CPU.P0025MC_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025MD.P0025MD.P0025MD_CPU.P0025MD_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025MD.P0025MD.P0025MD_CPU.P0025MD_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025MD.P0025MD.P0025MD_CPU.P0025MD_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025ME.P0025ME.P0025ME_CPU.P0025ME_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025ME.P0025ME.P0025ME_CPU.P0025ME_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025ME.P0025ME.P0025ME_CPU.P0025ME_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025MF.P0025MF.P0025MF_CPU.P0025MF_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025MF.P0025MF.P0025MF_CPU.P0025MF_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025MF.P0025MF.P0025MF_CPU.P0025MF_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025NAR.P0025NAR.P0025NAR_CPU.P0025NAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025NAR.P0025NAR.P0025NAR_CPU.P0025NAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025NAR.P0025NAR.P0025NAR_CPU.P0025NAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0025.P0025NBR.P0025NBR.P0025NBR_CPU.P0025NBR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0025.P0025NBR.P0025NBR.P0025NBR_CPU.P0025NBR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0025.P0025NBR.P0025NBR.P0025NBR_CPU.P0025NBR_EIPAdapter;SatelliteMode;10;600;10;500
