SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0025.P0025EA.P0025EA.P0025EA_CPU.P0025EA_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0025.P0025EA.P0025EA.P0025EA_CPU.P0025EA_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0025.P0025EA.P0025EA.P0025EA_CPU.P0025EA_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0025.P0025EB.P0025EB.P0025EB_CPU.P0025EB_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0025.P0025EB.P0025EB.P0025EB_CPU.P0025EB_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0025.P0025EB.P0025EB.P0025EB_CPU.P0025EB_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0025.P0025IA.P0025IA.P0025IA_CPU.P0025IA_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0025.P0025IA.P0025IA.P0025IA_CPU.P0025IA_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0025.P0025IA.P0025IA.P0025IA_CPU.P0025IA_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0025.P0025JAR.P0025JAR.P0025JAR_CPU.P0025JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0025.P0025JAR.P0025JAR.P0025JAR_CPU.P0025JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0025.P0025JAR.P0025JAR.P0025JAR_CPU.P0025JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0025.P0025MA.P0025MA.P0025MA_CPU.P0025MA_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0025.P0025MA.P0025MA.P0025MA_CPU.P0025MA_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0025.P0025MA.P0025MA.P0025MA_CPU.P0025MA_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0025.P0025MB.P0025MB.P0025MB_CPU.P0025MB_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0025.P0025MB.P0025MB.P0025MB_CPU.P0025MB_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0025.P0025MB.P0025MB.P0025MB_CPU.P0025MB_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0025.P0025MC.P0025MC.P0025MC_CPU.P0025MC_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0025.P0025MC.P0025MC.P0025MC_CPU.P0025MC_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0025.P0025MC.P0025MC.P0025MC_CPU.P0025MC_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0025.P0025MD.P0025MD.P0025MD_CPU.P0025MD_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0025.P0025MD.P0025MD.P0025MD_CPU.P0025MD_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0025.P0025MD.P0025MD.P0025MD_CPU.P0025MD_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0025.P0025ME.P0025ME.P0025ME_CPU.P0025ME_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0025.P0025ME.P0025ME.P0025ME_CPU.P0025ME_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0025.P0025ME.P0025ME.P0025ME_CPU.P0025ME_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0025.P0025MF.P0025MF.P0025MF_CPU.P0025MF_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0025.P0025MF.P0025MF.P0025MF_CPU.P0025MF_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0025.P0025MF.P0025MF.P0025MF_CPU.P0025MF_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0025.P0025NAR.P0025NAR.P0025NAR_CPU.P0025NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0025.P0025NAR.P0025NAR.P0025NAR_CPU.P0025NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0025.P0025NAR.P0025NAR.P0025NAR_CPU.P0025NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0025.P0025NBR.P0025NBR.P0025NBR_CPU.P0025NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0025.P0025NBR.P0025NBR.P0025NBR_CPU.P0025NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0025.P0025NBR.P0025NBR.P0025NBR_CPU.P0025NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
