SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0030.P0030EA.P0030EA.P0030EA_CPU.P0030EA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0030.P0030EA.P0030EA.P0030EA_CPU.P0030EA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0030.P0030EA.P0030EA.P0030EA_CPU.P0030EA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0030.P0030JAR.P0030JAR.P0030JAR_CPU.P0030JAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0030.P0030JAR.P0030JAR.P0030JAR_CPU.P0030JAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0030.P0030JAR.P0030JAR.P0030JAR_CPU.P0030JAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0030.P0030JC.P0030JC.P0030JC_CPU.P0030JC_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0030.P0030JC.P0030JC.P0030JC_CPU.P0030JC_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0030.P0030JC.P0030JC.P0030JC_CPU.P0030JC_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0030.P0030JD.P0030JD.P0030JD_CPU.P0030JD_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0030.P0030JD.P0030JD.P0030JD_CPU.P0030JD_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0030.P0030JD.P0030JD.P0030JD_CPU.P0030JD_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0030.P0030JE.P0030JE.P0030JE_CPU.P0030JE_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0030.P0030JE.P0030JE.P0030JE_CPU.P0030JE_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0030.P0030JE.P0030JE.P0030JE_CPU.P0030JE_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0030.P0030NAR.P0030NAR.P0030NAR_CPU.P0030NAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0030.P0030NAR.P0030NAR.P0030NAR_CPU.P0030NAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0030.P0030NAR.P0030NAR.P0030NAR_CPU.P0030NAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0030.P0030NBR.P0030NBR.P0030NBR_CPU.P0030NBR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0030.P0030NBR.P0030NBR.P0030NBR_CPU.P0030NBR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0030.P0030NBR.P0030NBR.P0030NBR_CPU.P0030NBR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0030.P0030SB.P0030SB.P0030SB_CPU.P0030SB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0030.P0030SB.P0030SB.P0030SB_CPU.P0030SB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0030.P0030SB.P0030SB.P0030SB_CPU.P0030SB_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0030.P0030ZA.P0030ZA.P0030ZA_CPU.P0030ZA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0030.P0030ZA.P0030ZA.P0030ZA_CPU.P0030ZA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0030.P0030ZA.P0030ZA.P0030ZA_CPU.P0030ZA_EIPAdapter;SatelliteMode;10;600;10;500
