SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0030.P0030EA.P0030EA.P0030EA_CPU.P0030EA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0030.P0030EA.P0030EA.P0030EA_CPU.P0030EA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0030.P0030EA.P0030EA.P0030EA_CPU.P0030EA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0030.P0030JAR.P0030JAR.P0030JAR_CPU.P0030JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0030.P0030JAR.P0030JAR.P0030JAR_CPU.P0030JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0030.P0030JAR.P0030JAR.P0030JAR_CPU.P0030JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0030.P0030JC.P0030JC.P0030JC_CPU.P0030JC_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0030.P0030JC.P0030JC.P0030JC_CPU.P0030JC_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0030.P0030JC.P0030JC.P0030JC_CPU.P0030JC_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0030.P0030JD.P0030JD.P0030JD_CPU.P0030JD_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0030.P0030JD.P0030JD.P0030JD_CPU.P0030JD_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0030.P0030JD.P0030JD.P0030JD_CPU.P0030JD_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0030.P0030JE.P0030JE.P0030JE_CPU.P0030JE_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0030.P0030JE.P0030JE.P0030JE_CPU.P0030JE_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0030.P0030JE.P0030JE.P0030JE_CPU.P0030JE_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0030.P0030NAR.P0030NAR.P0030NAR_CPU.P0030NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0030.P0030NAR.P0030NAR.P0030NAR_CPU.P0030NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0030.P0030NAR.P0030NAR.P0030NAR_CPU.P0030NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0030.P0030NBR.P0030NBR.P0030NBR_CPU.P0030NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0030.P0030NBR.P0030NBR.P0030NBR_CPU.P0030NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0030.P0030NBR.P0030NBR.P0030NBR_CPU.P0030NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0030.P0030SB.P0030SB.P0030SB_CPU.P0030SB_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0030.P0030SB.P0030SB.P0030SB_CPU.P0030SB_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0030.P0030SB.P0030SB.P0030SB_CPU.P0030SB_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0030.P0030ZA.P0030ZA.P0030ZA_CPU.P0030ZA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0030.P0030ZA.P0030ZA.P0030ZA_CPU.P0030ZA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0030.P0030ZA.P0030ZA.P0030ZA_CPU.P0030ZA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
