SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0031.P0031EA.P0031EA.P0031EA_CPU.P0031EA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0031.P0031EA.P0031EA.P0031EA_CPU.P0031EA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0031.P0031EA.P0031EA.P0031EA_CPU.P0031EA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0031.P0031JAR.P0031JAR.P0031JAR_CPU.P0031JAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0031.P0031JAR.P0031JAR.P0031JAR_CPU.P0031JAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0031.P0031JAR.P0031JAR.P0031JAR_CPU.P0031JAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0031.P0031JC.P0031JC.P0031JC_CPU.P0031JC_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0031.P0031JC.P0031JC.P0031JC_CPU.P0031JC_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0031.P0031JC.P0031JC.P0031JC_CPU.P0031JC_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0031.P0031JD.P0031JD.P0031JD_CPU.P0031JD_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0031.P0031JD.P0031JD.P0031JD_CPU.P0031JD_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0031.P0031JD.P0031JD.P0031JD_CPU.P0031JD_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0031.P0031JE.P0031JE.P0031JE_CPU.P0031JE_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0031.P0031JE.P0031JE.P0031JE_CPU.P0031JE_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0031.P0031JE.P0031JE.P0031JE_CPU.P0031JE_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0031.P0031NAR.P0031NAR.P0031NAR_CPU.P0031NAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0031.P0031NAR.P0031NAR.P0031NAR_CPU.P0031NAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0031.P0031NAR.P0031NAR.P0031NAR_CPU.P0031NAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0031.P0031NBR.P0031NBR.P0031NBR_CPU.P0031NBR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0031.P0031NBR.P0031NBR.P0031NBR_CPU.P0031NBR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0031.P0031NBR.P0031NBR.P0031NBR_CPU.P0031NBR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0031.P0031ZA.P0031ZA.P0031ZA_CPU.P0031ZA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0031.P0031ZA.P0031ZA.P0031ZA_CPU.P0031ZA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0031.P0031ZA.P0031ZA.P0031ZA_CPU.P0031ZA_EIPAdapter;SatelliteMode;10;600;10;500
