SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0031.P0031EA.P0031EA.P0031EA_CPU.P0031EA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0031.P0031EA.P0031EA.P0031EA_CPU.P0031EA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0031.P0031EA.P0031EA.P0031EA_CPU.P0031EA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0031.P0031JAR.P0031JAR.P0031JAR_CPU.P0031JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0031.P0031JAR.P0031JAR.P0031JAR_CPU.P0031JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0031.P0031JAR.P0031JAR.P0031JAR_CPU.P0031JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0031.P0031JC.P0031JC.P0031JC_CPU.P0031JC_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0031.P0031JC.P0031JC.P0031JC_CPU.P0031JC_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0031.P0031JC.P0031JC.P0031JC_CPU.P0031JC_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0031.P0031JD.P0031JD.P0031JD_CPU.P0031JD_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0031.P0031JD.P0031JD.P0031JD_CPU.P0031JD_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0031.P0031JD.P0031JD.P0031JD_CPU.P0031JD_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0031.P0031JE.P0031JE.P0031JE_CPU.P0031JE_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0031.P0031JE.P0031JE.P0031JE_CPU.P0031JE_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0031.P0031JE.P0031JE.P0031JE_CPU.P0031JE_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0031.P0031NAR.P0031NAR.P0031NAR_CPU.P0031NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0031.P0031NAR.P0031NAR.P0031NAR_CPU.P0031NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0031.P0031NAR.P0031NAR.P0031NAR_CPU.P0031NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0031.P0031NBR.P0031NBR.P0031NBR_CPU.P0031NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0031.P0031NBR.P0031NBR.P0031NBR_CPU.P0031NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0031.P0031NBR.P0031NBR.P0031NBR_CPU.P0031NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0031.P0031ZA.P0031ZA.P0031ZA_CPU.P0031ZA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0031.P0031ZA.P0031ZA.P0031ZA_CPU.P0031ZA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0031.P0031ZA.P0031ZA.P0031ZA_CPU.P0031ZA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
