SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0033.P0033EA.P0033EA.P0033EA_CPU.P0033EA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0033.P0033EA.P0033EA.P0033EA_CPU.P0033EA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0033.P0033EA.P0033EA.P0033EA_CPU.P0033EA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0033.P0033JAR.P0033JAR.P0033JAR_CPU.P0033JAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0033.P0033JAR.P0033JAR.P0033JAR_CPU.P0033JAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0033.P0033JAR.P0033JAR.P0033JAR_CPU.P0033JAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0033.P0033JC.P0033JC.P0033JC_CPU.P0033JC_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0033.P0033JC.P0033JC.P0033JC_CPU.P0033JC_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0033.P0033JC.P0033JC.P0033JC_CPU.P0033JC_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0033.P0033JD.P0033JD.P0033JD_CPU.P0033JD_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0033.P0033JD.P0033JD.P0033JD_CPU.P0033JD_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0033.P0033JD.P0033JD.P0033JD_CPU.P0033JD_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0033.P0033JE.P0033JE.P0033JE_CPU.P0033JE_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0033.P0033JE.P0033JE.P0033JE_CPU.P0033JE_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0033.P0033JE.P0033JE.P0033JE_CPU.P0033JE_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0033.P0033NAR.P0033NAR.P0033NAR_CPU.P0033NAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0033.P0033NAR.P0033NAR.P0033NAR_CPU.P0033NAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0033.P0033NAR.P0033NAR.P0033NAR_CPU.P0033NAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0033.P0033NBR.P0033NBR.P0033NBR_CPU.P0033NBR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0033.P0033NBR.P0033NBR.P0033NBR_CPU.P0033NBR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0033.P0033NBR.P0033NBR.P0033NBR_CPU.P0033NBR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0033.P0033SB.P0033SB.P0033SB_CPU.P0033SB_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0033.P0033SB.P0033SB.P0033SB_CPU.P0033SB_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0033.P0033SB.P0033SB.P0033SB_CPU.P0033SB_EIPAdapter;SatelliteMode;10;600;10;500
