SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0033.P0033EA.P0033EA.P0033EA_CPU.P0033EA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0033.P0033EA.P0033EA.P0033EA_CPU.P0033EA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0033.P0033EA.P0033EA.P0033EA_CPU.P0033EA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0033.P0033JAR.P0033JAR.P0033JAR_CPU.P0033JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0033.P0033JAR.P0033JAR.P0033JAR_CPU.P0033JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0033.P0033JAR.P0033JAR.P0033JAR_CPU.P0033JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0033.P0033JC.P0033JC.P0033JC_CPU.P0033JC_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0033.P0033JC.P0033JC.P0033JC_CPU.P0033JC_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0033.P0033JC.P0033JC.P0033JC_CPU.P0033JC_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0033.P0033JD.P0033JD.P0033JD_CPU.P0033JD_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0033.P0033JD.P0033JD.P0033JD_CPU.P0033JD_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0033.P0033JD.P0033JD.P0033JD_CPU.P0033JD_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0033.P0033JE.P0033JE.P0033JE_CPU.P0033JE_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0033.P0033JE.P0033JE.P0033JE_CPU.P0033JE_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0033.P0033JE.P0033JE.P0033JE_CPU.P0033JE_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0033.P0033NAR.P0033NAR.P0033NAR_CPU.P0033NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0033.P0033NAR.P0033NAR.P0033NAR_CPU.P0033NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0033.P0033NAR.P0033NAR.P0033NAR_CPU.P0033NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0033.P0033NBR.P0033NBR.P0033NBR_CPU.P0033NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0033.P0033NBR.P0033NBR.P0033NBR_CPU.P0033NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0033.P0033NBR.P0033NBR.P0033NBR_CPU.P0033NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0033.P0033SB.P0033SB.P0033SB_CPU.P0033SB_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0033.P0033SB.P0033SB.P0033SB_CPU.P0033SB_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0033.P0033SB.P0033SB.P0033SB_CPU.P0033SB_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
