SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0036.P0036EA.P0036EA.P0036EA_CPU.P0036EA_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0036.P0036EA.P0036EA.P0036EA_CPU.P0036EA_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0036.P0036EA.P0036EA.P0036EA_CPU.P0036EA_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0036.P0036JAR.P0036JAR.P0036JAR_CPU.P0036JAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0036.P0036JAR.P0036JAR.P0036JAR_CPU.P0036JAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0036.P0036JAR.P0036JAR.P0036JAR_CPU.P0036JAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0036.P0036JC.P0036JC.P0036JC_CPU.P0036JC_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0036.P0036JC.P0036JC.P0036JC_CPU.P0036JC_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0036.P0036JC.P0036JC.P0036JC_CPU.P0036JC_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0036.P0036JD.P0036JD.P0036JD_CPU.P0036JD_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0036.P0036JD.P0036JD.P0036JD_CPU.P0036JD_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0036.P0036JD.P0036JD.P0036JD_CPU.P0036JD_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0036.P0036JE.P0036JE.P0036JE_CPU.P0036JE_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0036.P0036JE.P0036JE.P0036JE_CPU.P0036JE_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0036.P0036JE.P0036JE.P0036JE_CPU.P0036JE_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0036.P0036NAR.P0036NAR.P0036NAR_CPU.P0036NAR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0036.P0036NAR.P0036NAR.P0036NAR_CPU.P0036NAR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0036.P0036NAR.P0036NAR.P0036NAR_CPU.P0036NAR_EIPAdapter;SatelliteMode;10;600;10;500
Domain.PLC_P0036.P0036NBR.P0036NBR.P0036NBR_CPU.P0036NBR_EIPAdapter;FiberMode;10;600;10;500
Domain.PLC_P0036.P0036NBR.P0036NBR.P0036NBR_CPU.P0036NBR_EIPAdapter;RadioMode;10;600;10;500
Domain.PLC_P0036.P0036NBR.P0036NBR.P0036NBR_CPU.P0036NBR_EIPAdapter;SatelliteMode;10;600;10;500
