SourceId;PollingModeId;SlowResponseTimeoutCount;SlowResponseTimeout;FastResponseTimeoutCount;FastResponseTimeout
Domain.PLC_P0036.P0036_R1031SA.P0036_R1031SA.P0036_R1031SA_CPU.P0036_R1031SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V0953SA.P0036_V0953SA.P0036_V0953SA_CPU.P0036_V0953SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V0961SA.P0036_V0961SA.P0036_V0961SA_CPU.P0036_V0961SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V0990SA.P0036_V0990SA.P0036_V0990SA_CPU.P0036_V0990SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V1018SA.P0036_V1018SA.P0036_V1018SA_CPU.P0036_V1018SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V1019SA.P0036_V1019SA.P0036_V1019SA_CPU.P0036_V1019SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V1031SA.P0036_V1031SA.P0036_V1031SA_CPU.P0036_V1031SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V1042SA.P0036_V1042SA.P0036_V1042SA_CPU.P0036_V1042SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V1045SA.P0036_V1045SA.P0036_V1045SA_CPU.P0036_V1045SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V1046SA.P0036_V1046SA.P0036_V1046SA_CPU.P0036_V1046SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V1056SA.P0036_V1056SA.P0036_V1056SA_CPU.P0036_V1056SA_EIPAdapter;LtmMode;10;600;10;500
Domain.PLC_P0036.P0036_V1077SA.P0036_V1077SA.P0036_V1077SA_CPU.P0036_V1077SA_EIPAdapter;LtmMode;10;600;10;500
