SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0038.P0038EA.P0038EA.P0038EA_CPU.P0038EA_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0038.P0038EA.P0038EA.P0038EA_CPU.P0038EA_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0038.P0038EA.P0038EA.P0038EA_CPU.P0038EA_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0038.P0038JAR.P0038JAR.P0038JAR_CPU.P0038JAR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0038.P0038JAR.P0038JAR.P0038JAR_CPU.P0038JAR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0038.P0038JAR.P0038JAR.P0038JAR_CPU.P0038JAR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0038.P0038JC.P0038JC.P0038JC_CPU.P0038JC_EIPAdapter;Data3000ms;FiberMode;3000;15000
Domain.PLC_P0038.P0038JC.P0038JC.P0038JC_CPU.P0038JC_EIPAdapter;Data3000ms;RadioMode;30000;30000
Domain.PLC_P0038.P0038JC.P0038JC.P0038JC_CPU.P0038JC_EIPAdapter;Data3000ms;SatelliteMode;15000;30000
Domain.PLC_P0038.P0038JD.P0038JD.P0038JD_CPU.P0038JD_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0038.P0038JD.P0038JD.P0038JD_CPU.P0038JD_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0038.P0038JD.P0038JD.P0038JD_CPU.P0038JD_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0038.P0038JE.P0038JE.P0038JE_CPU.P0038JE_EIPAdapter;Data6000ms;FiberMode;6000;15000
Domain.PLC_P0038.P0038JE.P0038JE.P0038JE_CPU.P0038JE_EIPAdapter;Data6000ms;RadioMode;30000;30000
Domain.PLC_P0038.P0038JE.P0038JE.P0038JE_CPU.P0038JE_EIPAdapter;Data6000ms;SatelliteMode;15000;30000
Domain.PLC_P0038.P0038NAR.P0038NAR.P0038NAR_CPU.P0038NAR_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0038.P0038NAR.P0038NAR.P0038NAR_CPU.P0038NAR_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0038.P0038NAR.P0038NAR.P0038NAR_CPU.P0038NAR_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
Domain.PLC_P0038.P0038NBR.P0038NBR.P0038NBR_CPU.P0038NBR_EIPAdapter;Data3000ms;FiberMode;3000;5000
Domain.PLC_P0038.P0038NBR.P0038NBR.P0038NBR_CPU.P0038NBR_EIPAdapter;Data3000ms;RadioMode;8000;8000
Domain.PLC_P0038.P0038NBR.P0038NBR.P0038NBR_CPU.P0038NBR_EIPAdapter;Data3000ms;SatelliteMode;5000;8000
Domain.PLC_P0038.P0038SB.P0038SB.P0038SB_CPU.P0038SB_EIPAdapter;Data1000ms;FiberMode;1000;2000
Domain.PLC_P0038.P0038SB.P0038SB.P0038SB_CPU.P0038SB_EIPAdapter;Data1000ms;RadioMode;1000;1000
Domain.PLC_P0038.P0038SB.P0038SB.P0038SB_CPU.P0038SB_EIPAdapter;Data1000ms;SatelliteMode;2000;2000
