SourceId;DataCategoryId;PollingModeId;PollingInterval;SlowPollingInterval
Domain.PLC_P0038.P0038_R1353SA.P0038_R1353SA.P0038_R1353SA_CPU.P0038_R1353SA_EIPAdapter;Data3000ms;LtmMode;3000;30000
Domain.PLC_P0038.P0038_V1268SA.P0038_V1268SA.P0038_V1268SA_CPU.P0038_V1268SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0038.P0038_V1293SA.P0038_V1293SA.P0038_V1293SA_CPU.P0038_V1293SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0038.P0038_V1312SA.P0038_V1312SA.P0038_V1312SA_CPU.P0038_V1312SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0038.P0038_V1327SA.P0038_V1327SA.P0038_V1327SA_CPU.P0038_V1327SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0038.P0038_V1348SA.P0038_V1348SA.P0038_V1348SA_CPU.P0038_V1348SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0038.P0038_V1349SA.P0038_V1349SA.P0038_V1349SA_CPU.P0038_V1349SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0038.P0038_V1353SA.P0038_V1353SA.P0038_V1353SA_CPU.P0038_V1353SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0038.P0038_V1373SA.P0038_V1373SA.P0038_V1373SA_CPU.P0038_V1373SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
Domain.PLC_P0038.P0038_V1374SA.P0038_V1374SA.P0038_V1374SA_CPU.P0038_V1374SA_EIPAdapter;Data1000ms;LtmMode;1000;1000
